Gene stable ID,Gene name,Gene description,Gene start (bp),Gene end (bp),Gene % GC content
ENSG00000230703,AL591178.2,novel transcript, antisense to MYOM3,24066774,24083565,50.01
ENSG00000142677,IL22RA1,interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700],24119771,24143121,48.40
ENSG00000185436,IFNLR1,interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584],24154157,24187959,47.37
ENSG00000230023,AL590683.1,uncharacterized LOC284632 [Source:NCBI gene;Acc:284632],24200240,24211693,50.44
ENSG00000232298,AL138902.1,uncharacterized LOC105376871 [Source:NCBI gene;Acc:105376871],24307556,24321901,46.73
ENSG00000158055,GRHL3,grainyhead like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:25839],24319322,24364482,51.00
ENSG00000001460,STPG1,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],24356999,24416934,44.09
ENSG00000001461,NIPAL3,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],24415794,24472976,45.00
ENSG00000117602,RCAN3,RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042],24502351,24541040,42.26
ENSG00000264443,AL445686.2,uncharacterized LOC100506985 [Source:NCBI gene;Acc:100506985],24538802,24556024,44.64
ENSG00000184454,NCMAP,non-compact myelin associated protein [Source:HGNC Symbol;Acc:HGNC:29332],24556111,24609328,47.91
ENSG00000227312,AL445686.1,ribosomal protein L26 (RPL26) pseudogene,24563627,24563974,42.53
ENSG00000239106,RF00019,,24625411,24625513,40.78
ENSG00000133226,SRRM1,serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638],24631716,24673267,41.76
ENSG00000284699,AL445648.1,novel transcript,24704894,24717596,49.18
ENSG00000169504,CLIC4,chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518],24745357,24844324,41.67
ENSG00000238482,RNU6-1208P,RNA, U6 small nuclear 1208, pseudogene [Source:HGNC Symbol;Acc:HGNC:48171],24777873,24777979,37.38
ENSG00000020633,RUNX3,runt related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473],24899511,24965121,54.80
ENSG00000278034,MIR6731,microRNA 6731 [Source:HGNC Symbol;Acc:HGNC:50036],24919345,24919416,59.72
ENSG00000229162,AL445471.1,novel transcript,24961345,24963097,53.34
ENSG00000261025,AL445471.2,novel transcript,24968423,24970865,55.46
ENSG00000264371,MIR4425,microRNA 4425 [Source:HGNC Symbol;Acc:HGNC:41891],25023503,25023586,44.05
ENSG00000285823,AL050344.2,uncharacterized LOC105376879 [Source:NCBI gene;Acc:105376879],25041136,25047404,52.42
ENSG00000233755,AL050344.1,novel transcript,25043707,25113120,50.54
ENSG00000233419,AL121994.1,interferon induced transmembrane protein pseudogene,25125053,25125454,56.72
ENSG00000231953,AL031432.1,novel transcript,25208139,25209437,39.95
ENSG00000117614,SYF2,SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824],25222679,25232502,43.61
ENSG00000284602,AL031432.4,novel transcript,25232586,25234775,46.12
ENSG00000284657,AL031432.5,novel transcript,25239494,25240253,56.18
ENSG00000117616,RSRP1,arginine and serine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:25234],25242237,25338213,46.40
ENSG00000272432,AL031432.3,novel transcript,25247837,25248321,52.99
ENSG00000261349,AL031432.2,novel pseudogene,25266102,25267136,47.34
ENSG00000187010,RHD,Rh blood group D antigen [Source:HGNC Symbol;Acc:HGNC:10009],25272393,25330445,46.66
ENSG00000224183,SDHDP6,succinate dehydrogenase complex subunit D pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:10689],25294164,25294643,53.96
ENSG00000259984,AL928711.1,novel pseudogene,25336429,25337465,47.44
ENSG00000183726,TMEM50A,transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590],25337917,25362361,42.04
ENSG00000188672,RHCE,Rh blood group CcEe antigens [Source:HGNC Symbol;Acc:HGNC:10008],25362249,25430192,46.80
ENSG00000238084,AL031284.1,succinate dehydrogenase complex, subunit D, integral membrane protein (SDHD) pseudogene,25398721,25399198,53.97
ENSG00000204178,MACO1,macoilin 1 [Source:HGNC Symbol;Acc:HGNC:25572],25430858,25500209,40.69
ENSG00000157978,LDLRAP1,low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640],25543580,25568886,54.63
ENSG00000225643,AL606491.1,novel transcript,25581478,25590356,50.97
ENSG00000117643,MAN1C1,mannosidase alpha class 1C member 1 [Source:HGNC Symbol;Acc:HGNC:19080],25617468,25786207,48.51
ENSG00000233478,AL031280.1,novel transcript,25644544,25659111,51.32
ENSG00000162430,SELENON,selenoprotein N [Source:HGNC Symbol;Acc:HGNC:15999],25800176,25818224,56.76
ENSG00000255054,AL020996.2,novel transcript,25811470,25823744,56.05
ENSG00000228172,AL020996.1,novel transcript,25816749,25820797,57.42
ENSG00000117640,MTFR1L,mitochondrial fission regulator 1 like [Source:HGNC Symbol;Acc:HGNC:28836],25818640,25832942,49.43
ENSG00000272478,AL020996.3,novel transcript, antisense to MTFR1L,25831913,25832134,45.50
ENSG00000127423,AUNIP,aurora kinase A and ninein interacting protein [Source:HGNC Symbol;Acc:HGNC:28363],25831913,25859458,42.54
ENSG00000236528,AL033528.2,novel transcript,25859613,25863420,50.60
ENSG00000182749,PAQR7,progestin and adipoQ receptor family member 7 [Source:HGNC Symbol;Acc:HGNC:23146],25861210,25871253,51.15
ENSG00000207302,RF00019,,25877496,25877605,41.82
ENSG00000117632,STMN1,stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510],25884181,25906991,48.24
ENSG00000229786,SNRPFP2,small nuclear ribonucleoprotein polypeptide F pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39665],25887360,25887610,43.43
ENSG00000223624,AL033528.1,ribosomal protein L39 (RPL39) pseudogene,25888970,25889109,41.43
ENSG00000283938,MIR3917,microRNA 3917 [Source:HGNC Symbol;Acc:HGNC:38911],25906362,25906454,70.97
ENSG00000158006,PAFAH2,platelet activating factor acetylhydrolase 2 [Source:HGNC Symbol;Acc:HGNC:8579],25959767,25998157,45.67
ENSG00000207237,RNU6-110P,RNA, U6 small nuclear 110, pseudogene [Source:HGNC Symbol;Acc:HGNC:47073],25964197,25964300,42.31
ENSG00000252190,RF00492,,26006006,26006130,52.00
ENSG00000252691,RF00283,,26006216,26006299,52.38
ENSG00000158008,EXTL1,exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515],26019884,26036464,55.41
ENSG00000158014,SLC30A2,solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013],26037252,26046133,55.89
ENSG00000284309,AL391650.2,novel transcript,26046665,26049099,48.50
ENSG00000158022,TRIM63,tripartite motif containing 63 [Source:HGNC Symbol;Acc:HGNC:16007],26051304,26068436,49.92
ENSG00000175087,PDIK1L,PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981],26111165,26125543,43.10
ENSG00000197245,FAM110D,family with sequence similarity 110 member D [Source:HGNC Symbol;Acc:HGNC:25860],26159020,26163962,58.12
ENSG00000282872,C1orf232,chromosome 1 open reading frame 230 [Source:HGNC Symbol;Acc:HGNC:53426],26164161,26168581,56.10
ENSG00000236782,AL391650.1,novel protein,26169516,26171831,61.57
ENSG00000142684,ZNF593,zinc finger protein 593 [Source:HGNC Symbol;Acc:HGNC:30943],26169871,26170873,62.91
ENSG00000142675,CNKSR1,connector enhancer of kinase suppressor of Ras 1 [Source:HGNC Symbol;Acc:HGNC:19700],26177403,26189886,55.23
ENSG00000188782,CATSPER4,cation channel sperm associated 4 [Source:HGNC Symbol;Acc:HGNC:23220],26190561,26202968,50.80
ENSG00000236155,AL355877.1,uncharacterized LOC101928303 [Source:NCBI gene;Acc:101928303],26209741,26229840,48.50
ENSG00000278572,AL355877.3,ADP-ribosylation factor-like 16 (ARL16) pseudogene,26218581,26220476,53.59
ENSG00000130695,CEP85,centrosomal protein 85 [Source:HGNC Symbol;Acc:HGNC:25309],26234200,26278808,44.68
ENSG00000270733,AL355877.2,mitochondrial ribosomal protein S6 (MRPS6) pseudogene,26263041,26263398,43.30
ENSG00000142669,SH3BGRL3,SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568],26279176,26281522,61.74
ENSG00000158062,UBXN11,UBX domain protein 11 [Source:HGNC Symbol;Acc:HGNC:30600],26281328,26318363,53.25
ENSG00000169442,CD52,CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804],26317957,26320523,54.58
ENSG00000176092,CRYBG2,crystallin beta-gamma domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17295],26321698,26360080,52.62
ENSG00000225854,AL451139.1,ribosomal protein L34 (RPL34) pseudogene,26326688,26327033,44.80
ENSG00000176083,ZNF683,zinc finger protein 683 [Source:HGNC Symbol;Acc:HGNC:28495],26361634,26374522,52.46
ENSG00000131914,LIN28A,lin-28 homolog A [Source:HGNC Symbol;Acc:HGNC:15986],26410778,26429722,46.58
ENSG00000117682,DHDDS,dehydrodolichyl diphosphate synthase subunit [Source:HGNC Symbol;Acc:HGNC:20603],26432282,26471294,45.47
ENSG00000223583,AL513365.1,ribosomal protein L17 (RPL17) pseudogene,26454653,26455187,43.93
ENSG00000225891,AL513365.2,uncharacterized LOC101928324 [Source:NCBI gene;Acc:101928324],26462756,26467282,46.28
ENSG00000198830,HMGN2,high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986],26472450,26475972,48.34
ENSG00000224129,DPPA2P2,developmental pluripotency associated 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44627],26519354,26520250,44.15
ENSG00000117676,RPS6KA1,ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430],26529761,26575030,53.51
ENSG00000238705,MIR1976,microRNA 1976 [Source:HGNC Symbol;Acc:HGNC:37064],26554542,26554593,61.54
ENSG00000243905,RN7SL679P,RNA, 7SL, cytoplasmic 679, pseudogene [Source:HGNC Symbol;Acc:HGNC:46695],26593243,26593546,54.61
ENSG00000252802,RF00019,,26593940,26594041,44.12
ENSG00000252429,RNU7-29P,RNA, U7 small nuclear 29 pseudogene [Source:HGNC Symbol;Acc:HGNC:34125],26602369,26602432,34.38
ENSG00000229247,AL627313.1,chromosome 20 open reading frame 52 (C20orf52) pseudogene,26640377,26640614,53.36
ENSG00000238316,RF01210,,26642286,26642389,38.46
ENSG00000235069,AL627082.1,chromosome 20 open reading frame 52 (C20orf52) pseudogene,26647447,26647681,54.04
ENSG00000260063,AL512408.1,uncharacterized LOC101928728 [Source:NCBI gene;Acc:101928728],26692132,26694131,50.95
ENSG00000117713,ARID1A,AT-rich interaction domain 1A [Source:HGNC Symbol;Acc:HGNC:11110],26693236,26782110,46.19
ENSG00000060642,PIGV,phosphatidylinositol glycan anchor biosynthesis class V [Source:HGNC Symbol;Acc:HGNC:26031],26787472,26798398,48.34
ENSG00000241188,RN7SL165P,RNA, 7SL, cytoplasmic 165, pseudogene [Source:HGNC Symbol;Acc:HGNC:46181],26814822,26815112,50.17
ENSG00000204160,ZDHHC18,zinc finger DHHC-type containing 18 [Source:HGNC Symbol;Acc:HGNC:20712],26826710,26857602,51.59
ENSG00000175793,SFN,stratifin [Source:HGNC Symbol;Acc:HGNC:10773],26863138,26864457,62.80
ENSG00000226698,AL034380.1,novel transcript,26876133,26878245,47.04
ENSG00000142751,GPN2,GPN-loop GTPase 2 [Source:HGNC Symbol;Acc:HGNC:25513],26876133,26890297,48.74
ENSG00000198746,GPATCH3,G-patch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25720],26890488,26900466,50.12
ENSG00000090273,NUDC,nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045],26900238,26946862,48.43
ENSG00000131910,NR0B2,nuclear receptor subfamily 0 group B member 2 [Source:HGNC Symbol;Acc:HGNC:7961],26911489,26913966,53.51
ENSG00000175707,KDF1,keratinocyte differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:26624],26949562,26960406,51.28
ENSG00000172746,RPL12P13,ribosomal protein L12 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:51936],26980165,26980975,51.79
ENSG00000224064,AL356390.1,ribosomal protein L32 (RPL32) pseudogene,26983628,26984024,46.85
ENSG00000225294,OSTCP2,oligosaccharyltransferase complex subunit pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:42864],26985897,26986340,42.12
ENSG00000253368,TRNP1,TMF1-regulated nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:34348],26993707,27000898,55.78
ENSG00000158246,TENT5B,terminal nucleotidyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:28273],27005020,27012836,55.49
ENSG00000090020,SLC9A1,solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071],27098815,27166981,51.71
ENSG00000229985,AL590640.2,ribosomal protein L18a (RPL18A) pseudogene,27176751,27177277,58.82
ENSG00000214973,CHCHD3P3,coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44699],27200834,27201473,50.78
ENSG00000225159,NPM1P39,nucleophosmin 1 pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:45218],27206930,27207796,41.41
ENSG00000225990,SNRPEP7,small nuclear ribonucleoprotein polypeptide E pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43572],27211265,27211484,40.91
ENSG00000224311,AL590640.1,uncharacterized LOC105376890 [Source:NCBI gene;Acc:105376890],27229106,27234352,46.98
ENSG00000142784,WDTC1,WD and tetratricopeptide repeats 1 [Source:HGNC Symbol;Acc:HGNC:29175],27234516,27308633,46.51
ENSG00000252098,RF00019,,27255464,27255567,39.42
ENSG00000243659,FO393419.3,SMT3 suppressor of mif two 3 homolog 2 (yeast) (SMT3H2) pseudogene,27311240,27311838,45.74
ENSG00000186501,TMEM222,transmembrane protein 222 [Source:HGNC Symbol;Acc:HGNC:25363],27322145,27336400,51.87
ENSG00000206888,RNU6-48P,RNA, U6 small nuclear 48, pseudogene [Source:HGNC Symbol;Acc:HGNC:34292],27325219,27325325,45.79
ENSG00000241547,ACTG1P20,actin gamma 1 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:51500],27325329,27325796,55.56
ENSG00000142765,SYTL1,synaptotagmin like 1 [Source:HGNC Symbol;Acc:HGNC:15584],27342020,27353937,58.24
ENSG00000142733,MAP3K6,mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858],27355184,27366892,60.79
ENSG00000142748,FCN3,ficolin 3 [Source:HGNC Symbol;Acc:HGNC:3625],27369112,27374824,54.45
ENSG00000174950,CD164L2,CD164 molecule like 2 [Source:HGNC Symbol;Acc:HGNC:32043],27379176,27383380,60.45
ENSG00000231207,FO393419.1,ribosomal protein S24 (RPS24) pseudogene,27389468,27390145,44.99
ENSG00000181773,GPR3,G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484],27392644,27395814,57.99
ENSG00000158195,WASF2,WAS protein family member 2 [Source:HGNC Symbol;Acc:HGNC:12733],27404226,27490158,44.00
ENSG00000241169,FO393419.2,novel transcript,27457198,27459582,43.77
ENSG00000237429,BX293535.1,novel transcript,27525805,27530561,58.55
ENSG00000126705,AHDC1,AT-hook DNA binding motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25230],27534035,27604431,56.39
ENSG00000000938,FGR,FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697],27612064,27635277,52.97
ENSG00000235912,AL031729.1,novel pseudogene,27649419,27649610,53.65
ENSG00000233975,LINC02574,long intergenic non-protein coding RNA 2574 [Source:HGNC Symbol;Acc:HGNC:53746],27660328,27662722,49.06
ENSG00000126709,IFI6,interferon alpha inducible protein 6 [Source:HGNC Symbol;Acc:HGNC:4054],27666061,27672218,50.03
ENSG00000225886,AL445490.1,novel transcript, antisense to IFI6,27669468,27703063,44.97
ENSG00000206767,RNU6-949P,RNA, U6 small nuclear 949, pseudogene [Source:HGNC Symbol;Acc:HGNC:47912],27675603,27675709,40.19
ENSG00000226662,CHMP1AP1,charged multivesicular body protein 1A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39514],27686810,27687471,56.19
ENSG00000207095,RNU6-424P,RNA, U6 small nuclear 424, pseudogene [Source:HGNC Symbol;Acc:HGNC:47387],27693731,27693835,36.19
ENSG00000009780,FAM76A,family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530],27725979,27763122,43.35
ENSG00000231344,AL020997.1,novel pseudogene,27739091,27739439,42.98
ENSG00000230833,RPEP3,ribulose-5-phosphate-3-epimerase pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44522],27739954,27740629,46.01
ENSG00000117758,STX12,syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430],27773183,27824452,41.41
ENSG00000269971,AL020997.2,novel transcript, sense intronic to STX12,27773858,27774041,41.85
ENSG00000270031,AL020997.3,novel transcript, sense intronic to STX12,27819983,27820341,33.70
ENSG00000223062,RNU6-1245P,RNA, U6 small nuclear 1245, pseudogene [Source:HGNC Symbol;Acc:HGNC:48208],27824538,27824643,45.28
ENSG00000117751,PPP1R8,protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296],27830778,27851676,44.44
ENSG00000252947,SCARNA1,small Cajal body-specific RNA 1 [Source:HGNC Symbol;Acc:HGNC:32555],27834401,27834566,40.36
ENSG00000130775,THEMIS2,thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839],27872543,27886685,54.04
ENSG00000117748,RPA2,replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290],27891524,27914746,44.15
ENSG00000130768,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416],27934993,27959157,49.86
ENSG00000227050,AL512288.1,novel transcript,27938875,27960193,50.78
ENSG00000158156,XKR8,XK related 8 [Source:HGNC Symbol;Acc:HGNC:25508],27959462,27968096,55.55
ENSG00000158161,EYA3,EYA transcriptional coactivator and phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3521],27970344,28088696,39.52
ENSG00000238231,AL512288.2,interferon-induced transmembrane protein pseudogene,27990158,27990524,51.50
ENSG00000240750,RN7SL559P,RNA, 7SL, cytoplasmic 559, pseudogene [Source:HGNC Symbol;Acc:HGNC:46575],28031884,28032180,55.22
ENSG00000228589,SPCS2P4,signal peptidase complex subunit 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45237],28095742,28096422,45.96
ENSG00000228943,AL137792.2,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene,28109739,28110298,45.36
ENSG00000214812,AL137792.1,novel ADP-ribosylation factor family domain containing pseudogene,28120449,28121321,48.34
ENSG00000253005,RNU6-176P,RNA, U6 small nuclear 176, pseudogene [Source:HGNC Symbol;Acc:HGNC:47139],28142737,28142841,38.10
ENSG00000169403,PTAFR,platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582],28147166,28193936,48.00
ENSG00000126698,DNAJC8,DnaJ heat shock protein family (Hsp40) member C8 [Source:HGNC Symbol;Acc:HGNC:15470],28199456,28233025,43.16
ENSG00000130770,ATP5IF1,ATP synthase inhibitory factor subunit 1 [Source:HGNC Symbol;Acc:HGNC:871],28236109,28246906,44.37
ENSG00000270605,AL353622.1,novel transcript,28239509,28241453,41.59
ENSG00000271398,AL353622.2,novel transcript,28247144,28247568,55.53
ENSG00000130766,SESN2,sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746],28259527,28282491,50.06
ENSG00000130772,MED18,mediator complex subunit 18 [Source:HGNC Symbol;Acc:HGNC:25944],28329002,28335967,46.05
ENSG00000204138,PHACTR4,phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:HGNC:25793],28369582,28500369,42.87
ENSG00000206779,RF00019,,28422555,28422655,43.56
ENSG00000229820,CR391992.1,DnaJ (Hsp40) homolog, subfamily C member 8 (DNAJC8) pseudogene,28453541,28453934,43.65
ENSG00000221216,RNU6ATAC27P,RNA, U6atac small nuclear 27, pseudogene [Source:HGNC Symbol;Acc:HGNC:46926],28481362,28481480,47.06
ENSG00000180198,RCC1,regulator of chromosome condensation 1 [Source:HGNC Symbol;Acc:HGNC:1913],28505943,28539300,50.00
ENSG00000242125,SNHG3,small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118],28505980,28510892,46.41
ENSG00000274266,SNORA73A,small nucleolar RNA, H/ACA box 73A [Source:HGNC Symbol;Acc:HGNC:10115],28507366,28507571,56.31
ENSG00000200087,SNORA73B,small nucleolar RNA, H/ACA box 73B [Source:HGNC Symbol;Acc:HGNC:10116],28508559,28508762,54.90
ENSG00000231468,PRDX3P2,peroxiredoxin 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39265],28526318,28527227,48.79
ENSG00000279443,AL513497.1,TEC,28544460,28546542,46.38
ENSG00000180098,TRNAU1AP,tRNA selenocysteine 1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30813],28553085,28578545,47.61
ENSG00000197989,SNHG12,small nucleolar RNA host gene 12 [Source:HGNC Symbol;Acc:HGNC:30062],28578538,28583132,50.99
ENSG00000221539,SNORD99,small nucleolar RNA, C/D box 99 [Source:HGNC Symbol;Acc:HGNC:32762],28578749,28578822,47.30
ENSG00000278274,SNORA61,small nucleolar RNA, H/ACA box 61 [Source:HGNC Symbol;Acc:HGNC:32655],28579764,28579893,45.38
ENSG00000273544,SNORA44,small nucleolar RNA, H/ACA box 44 [Source:HGNC Symbol;Acc:HGNC:32637],28580381,28580512,50.76
ENSG00000280498,SNORA16A,small nucleolar RNA, H/ACA box 16A [Source:HGNC Symbol;Acc:HGNC:32605],28580920,28581054,48.15
ENSG00000274582,SNORA16A,small nucleolar RNA, H/ACA box 16A [Source:HGNC Symbol;Acc:HGNC:32605],28580920,28581056,48.91
ENSG00000120656,TAF12,TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545],28589323,28643085,47.17
ENSG00000188060,RAB42,RAB42, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:28702],28592200,28595443,58.17
ENSG00000229388,LINC01715,long intergenic non-protein coding RNA 1715 [Source:HGNC Symbol;Acc:HGNC:52502],28643228,28648581,47.96
ENSG00000270103,AL360012.1,RNA, U11 small nuclear,28648600,28648730,51.91
ENSG00000274978,RNU11,RNA, U11 small nuclear [Source:HGNC Symbol;Acc:HGNC:10108],28648600,28648733,51.49
ENSG00000162419,GMEB1,glucocorticoid modulatory element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4370],28668732,28719353,45.96
ENSG00000252777,RF00422,,28689665,28689794,34.62
ENSG00000198492,YTHDF2,YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675],28736621,28769775,43.57
ENSG00000116329,OPRD1,opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153],28812142,28871267,50.14
ENSG00000233427,AL009181.1,novel transcript,28870483,28877336,49.15
ENSG00000199756,RF00019,,28881726,28881835,37.27
ENSG00000159023,EPB41,erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377],28887091,29120046,41.87
ENSG00000225616,AL138785.1,ribosomal protein L27 (RPL27) pseudogene,28982278,28982608,48.34
ENSG00000206704,RF00019,,28985710,28985810,45.54
ENSG00000277958,RF00017,,29041199,29041480,56.74
ENSG00000253304,TMEM200B,transmembrane protein 200B [Source:HGNC Symbol;Acc:HGNC:33785],29119428,29123935,64.64
ENSG00000225750,AL357500.1,novel transcript,29144494,29146994,47.46
ENSG00000116350,SRSF4,serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786],29147743,29181987,43.00
ENSG00000277916,RF02271,,29171285,29171453,43.79
ENSG00000116353,MECR,mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691],29192873,29230942,48.21
ENSG00000237934,AL590729.1,novel transcript,29223933,29224816,48.42
ENSG00000060656,PTPRU,protein tyrosine phosphatase, receptor type U [Source:HGNC Symbol;Acc:HGNC:9683],29236516,29326813,51.58
ENSG00000230523,LINC01756,long intergenic non-protein coding RNA 1756 [Source:HGNC Symbol;Acc:HGNC:52545],29329620,29350114,47.84
ENSG00000225011,AL671862.1,protein tyrosine phosphatase, receptor type, U (PTPRU) pseudogene,29488193,29496893,44.05
ENSG00000228176,AC092265.1,novel transcript,29708851,29709547,54.23
ENSG00000284676,AL645944.2,novel transcript,29755175,29790597,43.74
ENSG00000270927,AL645944.1,N(alpha)-acetyltransferase 20, NatB catalytic subunit (NAA20) pseudogene,29904865,29905357,43.20
ENSG00000233399,LINC01648,long intergenic non-protein coding RNA 1648 [Source:HGNC Symbol;Acc:HGNC:52435],30013952,30037612,42.71
ENSG00000233372,AL137076.1,novel transcript,30140263,30141607,53.46
ENSG00000231251,AL021921.1,family with sequence similarity 32, member A (FAM32A) pseudogene,30226523,30226615,51.61
ENSG00000236335,AL161638.2,novel transcript,30409560,30411638,54.50
ENSG00000231949,AL161638.1,novel transcript,30415825,30421108,53.24
ENSG00000162510,MATN1,matrilin 1 [Source:HGNC Symbol;Acc:HGNC:6907],30711277,30723587,56.36
ENSG00000186056,MATN1-AS1,MATN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40364],30718504,30726827,56.43
ENSG00000162511,LAPTM5,lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612],30732469,30757820,52.62
ENSG00000264773,MIR4420,microRNA 4420 [Source:HGNC Symbol;Acc:HGNC:41772],30739156,30739232,49.35
ENSG00000229607,AL137027.1,novel transcript,30810378,30815553,47.06
ENSG00000223382,LINC01778,long intergenic non-protein coding RNA 1778 [Source:HGNC Symbol;Acc:HGNC:52568],30824228,30834431,46.07
ENSG00000222784,RN7SKP91,RNA, 7SK small nuclear pseudogene 91 [Source:HGNC Symbol;Acc:HGNC:45815],30843823,30844110,52.43
ENSG00000235143,AL445235.1,novel transcript,30858158,30860254,51.98
ENSG00000162512,SDC3,syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660],30869467,30908761,55.72
ENSG00000266210,RN7SL371P,RNA, 7SL, cytoplasmic 371, pseudogene [Source:HGNC Symbol;Acc:HGNC:46387],30918469,30918735,51.69
ENSG00000134644,PUM1,pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957],30931506,31065991,41.05
ENSG00000237329,AL356320.2,TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa (TAF9) pseudogene,31036734,31037240,38.46
ENSG00000232768,AL356320.1,ribosomal protein S29 (RPS29) pseudogene,31050872,31051034,46.63
ENSG00000215900,SELENOWP1,selenoprotein W pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10753],31094987,31095558,50.70
ENSG00000225142,AC114495.1,ribosomal protein L21 (RPL21) pseudogene,31108188,31108623,43.81
ENSG00000084628,NKAIN1,sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743],31179745,31239554,50.46
ENSG00000060688,SNRNP40,small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857],31259568,31296782,42.01
ENSG00000229447,AC114495.2,general transcription factor IIA, 2, 12kDa (GTF2A2) pseudogene,31263245,31263681,39.13
